method,AUC_fno,AUC_baseline,Delta
Deepfakes,0.8531275510204082,0.8768637755102041,-0.023736224489795954
Face2Face,0.8000619897959184,0.7981216836734695,0.0019403061224488871
FaceShifter,0.8549655612244899,0.8608242346938775,-0.005858673469387621
FaceSwap,0.8168117161211379,0.8386777301927194,-0.021866014071581508
NeuralTextures,0.7544650510204082,0.7438295918367347,0.010635459183673479
