,Deepfakes,Face2Face,FaceShifter,FaceSwap,NeuralTextures
Deepfakes,0.9623193877551021,0.6336122448979592,0.6602068877551022,0.6377597634342816,0.6015326530612245
Face2Face,0.6181704081632653,0.906051275510204,0.5533117346938776,0.5523108493932906,0.5609619897959184
FaceShifter,0.7087630102040817,0.5173663265306123,0.9686104591836734,0.564053227286632,0.603102806122449
FaceSwap,0.6890852040816327,0.5785260204081633,0.611219387755102,0.9431237891302131,0.5013668367346938
NeuralTextures,0.680164030612245,0.5607551020408164,0.6707497448979591,0.4992102579789946,0.8282977040816326
