epoch,train_loss,train_acc,val_loss,val_acc,val_auc
1,0.5721343853738573,0.6546527777777778,0.7124412563017436,0.6782142857142858,0.8269892857142858
2,0.32448900394969515,0.8311111111111111,0.48928864832435337,0.8132142857142857,0.8945714285714286
3,0.24285254316197502,0.8717361111111112,0.44388744058353563,0.8353571428571429,0.9211961734693879
4,0.19372274190187455,0.899375,0.47417463285582406,0.8378571428571429,0.9214948979591836
5,0.16974736750125885,0.9110416666666666,0.4937997723477227,0.8528571428571429,0.9310709183673469
6,0.14823952323860592,0.9244444444444444,0.4992848301572459,0.8592857142857143,0.934455612244898
7,0.1334941295782725,0.9325694444444445,0.5905794759307589,0.8510714285714286,0.9320229591836734
8,0.1266233210431205,0.9321527777777778,0.5527777234997068,0.8671428571428571,0.9357007653061223
9,0.12117011408011119,0.9378472222222223,0.5809702568820545,0.8582142857142857,0.9349397959183673
10,0.11524685053361787,0.940625,0.5733572540964399,0.8567857142857143,0.9345788265306122
