epoch,train_loss,train_acc,val_loss,val_acc,val_auc
1,0.5230359825823042,0.6906944444444445,0.5934537753037044,0.7528571428571429,0.8879829081632653
2,0.30290632009506224,0.8320833333333333,0.4752300723961421,0.8325,0.9321051020408163
3,0.23068088819583257,0.8716666666666667,0.3456738575920463,0.8778571428571429,0.9532454081632653
4,0.19914015197091633,0.8866666666666667,0.39138036385178565,0.885,0.9567765306122449
5,0.18348927934964498,0.8975,0.34866859338911516,0.8810714285714286,0.9610714285714286
6,0.16277033108803962,0.9056944444444445,0.4197777664954109,0.8925,0.9635964285714287
7,0.15407768178317283,0.9129166666666667,0.5457863569033465,0.8775,0.9578357142857143
8,0.1464679746495353,0.9161805555555556,0.48076681063169546,0.8857142857142857,0.9616163265306124
9,0.14070067250066334,0.919375,0.48039528182275326,0.8857142857142857,0.9629548469387756
10,0.13849575175179377,0.9220833333333334,0.46055634824018593,0.8921428571428571,0.9629655612244897
