epoch,train_loss,train_acc,val_loss,val_acc,val_auc
1,0.6668829941749572,0.5777083333333334,0.6489486885070801,0.6335714285714286,0.7075147959183673
2,0.5475417784849803,0.6974305555555556,0.6575949147769383,0.6992857142857143,0.7711801020408162
3,0.4368021473619673,0.7752083333333334,0.7255609560012818,0.7157142857142857,0.7929566326530613
4,0.36538835492399,0.8072916666666666,1.0806993814025607,0.7110714285714286,0.7857410714285714
5,0.32501246631145475,0.8277083333333334,1.0336588633060455,0.7328571428571429,0.792
6,0.28409664584530725,0.8488194444444445,1.10048668384552,0.7325,0.8047063775510205
7,0.2625280989540948,0.8597916666666666,1.2357435919557298,0.7239285714285715,0.7959897959183674
8,0.238371293147405,0.8715972222222222,1.3324291497043201,0.7228571428571429,0.799904081632653
9,0.2261159591211213,0.8743055555555556,1.3676416392837252,0.7260714285714286,0.8018663265306122
10,0.22317975795931286,0.8745833333333334,1.4009983169181006,0.7275,0.8006678571428572
