epoch,train_loss,train_acc,val_loss,val_acc,val_auc
1,0.5870245509677463,0.6515277777777778,0.5464032672132765,0.7435714285714285,0.8388678571428572
2,0.38240565578142804,0.80625,0.723410670885018,0.76,0.8812551020408164
3,0.28777133935027654,0.8553472222222223,0.7426460086447852,0.7714285714285715,0.8823548469387754
4,0.24675185388988918,0.8765277777777778,0.685972201185567,0.7864285714285715,0.8883867346938775
5,0.2176860558655527,0.8891666666666667,0.6308853514705386,0.8042857142857143,0.8987107142857144
6,0.19130339205265046,0.9035416666666667,0.6886342931006636,0.8121428571428572,0.8989719387755102
7,0.1786959101425277,0.9069444444444444,0.8236115794309548,0.8117857142857143,0.8972701530612245
8,0.15957987500561607,0.9194444444444444,0.8376384499855339,0.8121428571428572,0.9027267857142857
9,0.15767191226283708,0.91625,0.8230881259483951,0.8182142857142857,0.9014196428571428
10,0.14846186965703964,0.9202083333333333,0.8536578154989651,0.8146428571428571,0.901483163265306
