method,FNR_Baseline,N_Baseline,FNR_BiFPN,N_BiFPN,FNR_FNO,N_FNO
Deepfakes,0.19214285714285714,1400,0.19642857142857142,1400,0.1657142857142857,1400
Face2Face,0.3392857142857143,1400,0.3557142857142857,1400,0.285,1400
FaceShifter,0.22142857142857142,1400,0.24142857142857144,1400,0.19142857142857142,1400
FaceSwap,0.2662384011420414,1401,0.3004996431120628,1401,0.21413276231263384,1401
NeuralTextures,0.4521428571428571,1400,0.45785714285714285,1400,0.3742857142857143,1400
